Date,     Extent (million sq km)
10/26/78,10.231
10/28/78,10.42
10/30/78,10.557
11/1/78,10.67
11/3/78,10.777
11/5/78,10.968
11/7/78,11.08
11/9/78,11.189
11/11/78,11.314
11/13/78,11.46
11/15/78,11.539
11/17/78,11.696
11/19/78,11.87
11/21/78,12.053
11/23/78,12.274
11/25/78,12.441
11/27/78,12.662
11/29/78,12.684
12/1/78,12.725
12/3/78,12.66
12/5/78,12.785
12/7/78,13.051
12/9/78,13.143
12/11/78,13.437
12/13/78,13.603
12/15/78,13.649
12/17/78,13.807
12/19/78,13.892
12/21/78,13.996
12/23/78,14.189
12/25/78,14.268
12/27/78,14.383
12/29/78,14.5
12/31/78,14.585
1/2/79,14.997
1/4/79,14.922
1/6/79,14.929
1/8/79,14.968
1/10/79,15.19
1/12/79,15.327
1/14/79,15.352
1/16/79,15.5
1/18/79,15.517
1/20/79,15.709
1/22/79,15.679
1/24/79,15.745
1/26/79,15.686
1/28/79,15.777
1/30/79,15.912
2/1/79,15.857
2/3/79,15.839
2/5/79,15.831
2/7/79,15.801
2/9/79,15.99
2/11/79,16.099
2/13/79,16.289
2/15/79,16.323
2/17/79,16.343
2/19/79,16.291
2/21/79,16.26
2/23/79,16.401
2/25/79,16.579
2/27/79,16.551
3/1/79,16.635
3/3/79,16.457
3/5/79,16.568
3/7/79,16.547
3/9/79,16.536
3/11/79,16.513
3/13/79,16.414
3/15/79,16.31
3/17/79,16.467
3/19/79,16.505
3/21/79,16.349
3/23/79,16.279
3/25/79,16.264
3/27/79,16.06
3/29/79,15.763
3/31/79,15.804
4/2/79,15.66
4/4/79,15.641
4/6/79,15.695
4/8/79,15.794
4/10/79,15.761
4/12/79,15.655
4/14/79,15.5
4/16/79,15.454
4/18/79,15.51
4/20/79,15.343
4/22/79,15.255
4/24/79,15.224
4/26/79,15.141
4/28/79,15.108
4/30/79,14.961
5/2/79,14.626
5/4/79,14.498
5/6/79,14.45
5/8/79,14.325
5/10/79,14.149
5/12/79,14.012
5/14/79,13.836
5/16/79,13.862
5/18/79,13.691
5/20/79,13.56
5/22/79,13.529
5/24/79,13.364
5/26/79,13.399
5/28/79,13.292
5/30/79,13.26
6/1/79,13.076
6/3/79,12.977
6/5/79,12.832
6/7/79,12.791
6/9/79,12.854
6/11/79,12.733
6/13/79,12.673
6/15/79,12.548
6/17/79,12.517
6/19/79,12.415
6/21/79,12.373
6/23/79,12.243
6/25/79,12.112
6/27/79,11.977
6/29/79,11.829
7/1/79,11.562
7/3/79,11.363
7/5/79,11.255
7/7/79,10.936
7/9/79,10.793
7/11/79,10.662
7/13/79,10.503
7/15/79,10.401
7/17/79,10.256
7/19/79,9.927
7/21/79,9.919
7/23/79,9.668
7/25/79,9.614
7/27/79,9.556
7/29/79,9.342
7/31/79,9.223
8/2/79,9
8/4/79,8.859
8/6/79,8.744
8/8/79,8.61
8/10/79,8.328
8/12/79,8.284
8/14/79,8.138
8/16/79,7.971
8/18/79,7.811
8/20/79,7.659
8/22/79,7.566
8/24/79,7.577
8/26/79,7.421
8/28/79,7.364
8/30/79,7.284
9/1/79,7.228
9/3/79,7.147
9/5/79,7.037
9/7/79,7.075
9/9/79,7.092
9/11/79,6.981
9/13/79,7.003
9/15/79,7.007
9/17/79,7.001
9/19/79,6.91
9/21/79,6.895
9/23/79,7.033
9/25/79,7.058
9/27/79,7.127
9/29/79,7.173
10/1/79,7.404
10/3/79,7.534
10/5/79,7.813
10/7/79,7.878
10/9/79,8.115
10/11/79,8.136
10/13/79,8.338
10/15/79,8.57
10/17/79,8.938
10/19/79,9.19
10/21/79,9.295
10/23/79,9.466
10/25/79,9.7
10/27/79,9.869
10/29/79,9.797
10/31/79,9.924
11/2/79,10.144
11/4/79,10.159
11/6/79,10.267
11/8/79,10.27
11/10/79,10.497
11/12/79,10.61
11/14/79,10.8
11/16/79,10.92
11/18/79,11.01
11/20/79,11.157
11/22/79,11.352
11/24/79,11.419
11/26/79,11.581
11/28/79,11.884
11/30/79,12.076
12/2/79,12.39
12/4/79,12.462
12/6/79,12.781
