Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,CAIT,Industrial Processes,CO2,MtCO₂e,0.05,0.05,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04
Afghanistan,CAIT,Transportation,CO2,MtCO₂e,3.55,4.16,4.88,3.87,4.85,6.98,7.79,5.97,3.9,2.86,1.29,1.19,0.94,0.57,0.57,0.36,0.38,0.36,0.35,0.55,0.59,0.64,0.68,0.71,0.74,0.77,1.55,1.67
Albania,CAIT,Industrial Processes,CO2,MtCO₂e,1.26,1.26,1.25,1.1,1.15,1.1,0.9,0.65,0.55,0.46,0.44,0.26,0.25,0.29,0.29,0.0,0.0,0.09,0.05,0.04,0.05,0.1,0.1,0.05,0.1,0.1,0.3,0.37
Albania,CAIT,Transportation,CO2,MtCO₂e,2.3,2.29,2.44,2.47,2.46,2.25,2.35,2.23,2.3,2.28,2.1,1.92,2.37,2.3,1.92,1.77,1.54,1.47,1.4,0.74,0.49,0.62,0.63,0.63,0.51,0.41,0.54,0.71
Algeria,CAIT,Industrial Processes,CO2,MtCO₂e,9.16,9.16,9.16,8.36,7.3,7.7,8.19,8.25,8.22,7.58,7.0,6.54,5.66,4.9,4.03,4.06,3.77,3.79,3.44,3.45,3.27,3.01,3.17,2.82,2.99,3.0,2.97,2.99
Algeria,CAIT,Transportation,CO2,MtCO₂e,44.69,45.19,46.41,43.51,40.26,38.64,34.22,31.71,30.52,29.19,27.6,25.63,24.16,22.03,21.76,19.36,17.04,16.85,16.47,15.46,15.01,14.96,15.11,15.52,16.96,16.8,16.88,15.81
Angola,CAIT,Industrial Processes,CO2,MtCO₂e,0.95,0.95,0.99,0.97,0.78,0.61,0.57,0.58,0.69,0.68,0.54,0.54,0.52,0.3,0.28,0.24,0.22,0.08,0.08,0.14,0.12,0.11,0.08,0.1,0.1,0.12,0.11,0.11
Angola,CAIT,Transportation,CO2,MtCO₂e,6.72,7.91,7.98,7.94,7.7,6.74,7.17,6.48,5.76,5.2,3.9,3.29,2.48,3.45,2.75,1.48,1.2,1.07,1.16,0.83,1.05,0.99,1.07,1.54,1.21,1.19,1.26,1.02
Antigua and Barbuda,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,CAIT,Transportation,CO2,MtCO₂e,0.21,0.21,0.2,0.19,0.19,0.28,0.19,0.19,0.61,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.15,0.16,0.16,0.14,0.14,0.14,0.13,0.13,0.14,0.1,0.1
Argentina,CAIT,Industrial Processes,CO2,MtCO₂e,4.34,4.34,4.34,4.5,4.66,4.18,4.55,4.12,3.73,3.93,3.99,3.77,3.23,2.69,2.27,1.72,2.46,2.75,3.23,3.19,3.09,2.3,2.46,2.83,2.55,2.28,1.54,1.63
Argentina,CAIT,Transportation,CO2,MtCO₂e,46.43,45.25,46.28,44.06,47.74,44.82,45.67,44.2,42.02,45.85,43.88,40.55,37.71,37.17,34.56,33.84,36.63,39.84,40.97,43.59,40.97,41.0,35.21,33.79,34.28,32.0,29.97,28.34
Armenia,CAIT,Industrial Processes,CO2,MtCO₂e,0.15,0.15,0.24,0.24,0.26,0.28,0.26,0.29,0.24,0.41,0.41,0.34,0.33,0.3,0.22,0.21,0.14,0.14,0.18,0.19,0.18,0.17,0.14,0.06,0.12,0.24,N/A,N/A
Armenia,CAIT,Transportation,CO2,MtCO₂e,1.67,1.58,1.66,1.71,1.28,1.3,1.3,1.26,1.14,1.26,1.06,0.67,0.67,0.61,0.59,0.54,0.57,0.57,0.07,0.07,0.06,0.06,0.11,0.16,1.19,1.83,2.9,2.96
Australia,CAIT,Industrial Processes,CO2,MtCO₂e,3.02,2.93,3.08,3.14,3.29,3.52,3.5,3.55,3.83,3.86,3.97,3.89,3.66,3.56,3.58,3.49,3.54,3.62,3.52,3.48,3.19,3.24,3.36,3.48,3.01,2.92,3.18,3.46
Australia,CAIT,Transportation,CO2,MtCO₂e,97.68,95.59,94.15,91.98,91.83,90.43,89.77,87.63,84.68,85.3,83.58,81.25,79.33,79.18,76.41,76.13,74.42,75.01,72.77,71.39,71.39,70.02,67.54,64.83,63.19,62.08,60.59,62.03
Austria,CAIT,Industrial Processes,CO2,MtCO₂e,1.71,1.73,1.7,1.64,1.66,1.67,1.67,1.62,1.8,2.13,2.13,1.95,1.8,1.79,1.75,1.74,1.72,1.71,1.61,1.6,1.76,1.63,1.63,2.1,2.03,2.11,2.01,2.03
Austria,CAIT,Transportation,CO2,MtCO₂e,24.54,23.98,23.15,22.65,23.11,21.65,21.72,22.52,21.72,22.55,23.58,23.39,24.54,23.84,23.52,21.93,20.05,18.55,17.82,18.3,16.19,17.13,15.5,15.28,15.23,15.08,15.05,13.63
Azerbaijan,CAIT,Industrial Processes,CO2,MtCO₂e,0.71,0.71,0.82,0.9,0.72,0.66,0.47,0.62,0.62,0.77,0.82,0.78,0.74,0.73,0.54,0.47,0.31,0.12,0.1,0.11,0.18,0.12,0.1,0.24,0.3,0.38,N/A,N/A
Azerbaijan,CAIT,Transportation,CO2,MtCO₂e,7.6,6.55,6.98,7.54,7.29,6.4,5.79,4.95,4.25,4.77,3.77,4.84,4.21,3.79,3.15,2.93,2.6,2.36,1.57,3.0,3.22,2.71,3.34,3.24,3.69,4.0,4.76,6.2
Bahamas,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
