Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,CAIT,Total including LUCF,CO2,MtCO₂e,7.38,7.39,7.99,7.81,8.51,10.45,12.26,8.67,6.0,4.39,2.36,1.94,1.64,1.13,1.35,1.1,0.81,0.77,0.82,1.05,1.1,1.18,1.25,1.3,1.36,1.43,2.74,2.96
Afghanistan,CAIT,Transportation,CO2,MtCO₂e,3.55,4.16,4.88,3.87,4.85,6.98,7.79,5.97,3.9,2.86,1.29,1.19,0.94,0.57,0.57,0.36,0.38,0.36,0.35,0.55,0.59,0.64,0.68,0.71,0.74,0.77,1.55,1.67
Albania,CAIT,Total including LUCF,CO2,MtCO₂e,5.2,4.54,4.68,4.82,4.4,4.18,4.7,4.33,4.07,3.92,4.02,3.8,4.92,5.14,4.96,4.6,4.08,3.25,3.06,1.88,1.56,2.05,2.03,2.22,2.15,2.32,4.19,6.13
Albania,CAIT,Transportation,CO2,MtCO₂e,2.3,2.29,2.44,2.47,2.46,2.25,2.35,2.23,2.3,2.28,2.1,1.92,2.37,2.3,1.92,1.77,1.54,1.47,1.4,0.74,0.49,0.62,0.63,0.63,0.51,0.41,0.54,0.71
Algeria,CAIT,Total including LUCF,CO2,MtCO₂e,144.66,142.91,145.53,138.37,129.47,126.2,117.7,106.39,106.03,97.24,93.78,87.01,89.5,85.41,84.35,80.93,75.28,79.47,78.42,75.42,73.71,72.29,73.93,72.43,74.35,67.04,67.82,68.77
Algeria,CAIT,Transportation,CO2,MtCO₂e,44.69,45.19,46.41,43.51,40.26,38.64,34.22,31.71,30.52,29.19,27.6,25.63,24.16,22.03,21.76,19.36,17.04,16.85,16.47,15.46,15.01,14.96,15.11,15.52,16.96,16.8,16.88,15.81
Andorra,CAIT,Total including LUCF,CO2,MtCO₂e,N/A,0.45,0.44,0.44,0.45,0.47,0.47,0.48,0.48,0.5,0.5,0.51,0.55,0.53,0.51,0.5,0.5,0.5,0.49,0.47,0.45,0.43,0.41,0.39,0.39,0.39,0.39,0.39
Angola,CAIT,Total including LUCF,CO2,MtCO₂e,104.65,109.21,127.43,111.9,123.91,110.94,135.91,111.39,108.16,104.25,119.3,99.9,116.62,118.76,110.62,100.58,83.74,95.01,92.11,95.39,91.13,93.64,97.56,93.47,93.68,93.14,93.3,93.1
Angola,CAIT,Transportation,CO2,MtCO₂e,6.72,7.91,7.98,7.94,7.7,6.74,7.17,6.48,5.76,5.2,3.9,3.29,2.48,3.45,2.75,1.48,1.2,1.07,1.16,0.83,1.05,0.99,1.07,1.54,1.21,1.19,1.26,1.02
Antigua and Barbuda,CAIT,Total including LUCF,CO2,MtCO₂e,0.51,0.51,0.5,0.48,0.48,0.72,0.51,0.58,1.49,0.57,0.55,0.53,0.4,0.39,0.4,0.39,0.35,0.31,0.31,0.31,0.28,0.26,0.25,0.23,0.24,0.27,0.2,0.19
