Ice age (GT4),Na (ppb)
72,12.48
129,65.37
170,30.31
211,24.26
258,21.47
397,37.25
444,22.55
469,33.63
523,25.58
581,38.08
665,39.3
726,22.84
788,19.43
848,25.52
912,43.26
976,19.35
1074,26.59
1107,29.77
1211,23.17
1285,16.53
1356,18.69
1426,53.09
1535,21.08
1612,33.45
1692,37.9
1772,21.91
1853,34.71
1931,35.05
2049,33.96
2129,36.11
2253,30.34
2331,28.41
2418,26.88
2501,27.66
2585,23.31
2670,24.74
2674.3,23.83
2760,39.99
2764.5,39.4
2847,38.47
2934,20.78
3026,28.09
3114,26.59
3201,29.98
3289,13.99
3379,39.39
3466,29.48
3558,nan
3646,27.17
3778,26.13
3824,19.52
3915,27.1
4009,17.29
4202,34.44
4250,34.38
4381,30.51
4466,36.42
4552,40.31
4642,33.79
4739,31.86
4831,18.21
4929,29.47
5025,32.21
5118,28.48
5212,17.05
5259,20.58
5305,18.33
5397,32.04
5488,26.23
5581,17.65
5674,29.53
5769,33.9
5863,45.13
5955,33.09
6052,29.09
6145,37.35
6193,30.4
6241,25.18
6287,21.04
6334,14.01
6436,33.44
6534,31.54
6631,26.69
6677,32.73
6724,24.22
6823,34.02
6924,26.4
7023,15.19
7124,30.18
7172,27.51
7220,23.01
7315,24.44
7364,32.18
7509,30.31
7602,30.32
7697,27.39
7794,18.9
7894,22.32
7994,23.01
8091,23.33
8095.4,37.95
8178,31.09
8182.8,34.28
8276,18.15
8325,19.34
8374,24.93
8378.8,22.52
8422,12.78
8471,27.54
8475.9,19.66
8569,37.07
8619,18.11
8668,13.54
8763,22.66
8861,17.65
8960,20.83
9107,27.64
9298,37.51
9302.8,25.87
9346,13.25
9589,20.71
10218,24.32
10415,34.8
10812,18.33
11146,14.53
11537,12.47
11695,42.75
12087,26.97
12202,37.27
12385,27.74
12391.1,38.35
12446,30.17
12507,44.9
12513.2,33.32
12569,48.24
12632,44.41
12694,44.89
12700.1,52.1
12755,45.36
12815,53.88
12874,52.7
12994,61.92
13000.1,48.93
13237,64.09
13414,37.34
13476,49.56
13482.3,55.62
13539,61.78
13600,59
13605.9,53.55
13659,39.76
13718,60.57
13723.6,45.71
13774,55.7
13883,47.23
13938,53.23
13992,33.37
13997.6,24.23
14048,51.53
14105,43.09
14110.8,47.38
14281,56.46
14342,24.93
14466,58.41
14472,44.5
14589,53.25
14595.2,30.43
14651,44.99
14839,55.12
14845.5,49.77
14904,54.54
14968,60.62
15032,58.51
15099,43.98
15105.8,56.4
15167,44
15300,44.21
15306.6,65.3
15366,44.42
15501,59.04
15507.9,70.17
15570,37.72
15708,50.57
15714.9,69.57
15777,65.36
15845,75.94
15852,76.7
15915,52.21
15987,61.37
16057,71.23
16128,61.45
16135.3,71.55
16275,79.02
16282.5,71.87
16502,84.24
16509.5,61.36
16653,100.18
16660.6,65.25
17058,120.49
17066.1,130.68
17139,134.4
17298,68.97
17462,72.63
17544,98.42
17552.1,126.79
18201,114.22
18283,138.89
18291.2,77.14
18365,86.78
18446,116.4
18454.4,96.42
18530,124.74
18615,78.66
18701,107.4
18709.6,136.65
18787,84.29
18795.3,135.79
18870,61.19
18950,62.06
19032,83.37
19040.4,103.81
19199,111.81
19207.3,114.63
19443,119.81
19451.2,140.38
19525,140.92
19782,136.91
19868,131.83
19953,113.64
20197,133.06
20611,112.42
20619.3,153.84
20859,91.78
20943,94.67
21358,88.7
22629,124.33
22972,114.25
23234,125.51
24102,106.69
24860,145.12
25776,71.4
26017,70.6
27019,95.5
27202,101.82
27641,88.38
27649.9,87.35
28163,110.26
29166,115.8
29332,140.61
29949,72.12
29957.7,77.29
30201,103.8
31733,99.72
32546,102.12
32787,73.15
32795.4,77.9
33628,102.78
34041,55.34
34669,73.02
35705,107.78
36086,74.1
36585,90.5
36593.1,68.28
37066,74.52
37230,99.35
37718,118
37959,118.8
38619,115.38
38783,68.76
40054,113.61
41031,94.48
41039.1,95.26
41638,96.08
41645.2,100.45
42374,141.54
42758,78.37
43540,83.26
44463,66.97
44972,112.63
45225,99.35
45846,104.12
46797,92.17
46966,93.26
47462,121.51
49034,57.22
49430,85.47
50217,99.48
50374,74.15
50928,49.46
51794,56.77
54286,78.61
54713,82.87
55615,107.51
55775,72.17
56698,60.08
56850,44.19
56993,67.57
57139,58.32
58759,63.37
59593,74.53
59674,85.6
60519,73.17
60779,66.08
61141,49.97
61406,124.98
61415,57.8
62213,101.47
63865,73.51
64322,56.01
64331.4,51.99
64340.8,101.7
64416,49.26
64698,63.67
65278,87.2
65296.6,65.28
66045,78.33
66054.9,131.69
66520,90.43
67272,90.91
67281.5,95.78
67462,99.97
67653,98.64
67848,161.81
68233,146.9
68242.7,78.42
68424,84.96
68715,82.35
69071,140.21
69079.4,70.84
69324,79.54
69959,71.31
69968.5,122.34
70425,31.11
70600,82.72
70608.3,99.46
71743,101.71
71750.9,87.72
71822,59.86
72489,55.84
72497.9,73.24
72578,94.93
72840,80.22
73440,52.27
73795,50.76
73973,64.71
74238,48.35
74246.4,53.32
74985,72.29
75066,55.24
75074.1,54.9
75147,75.32
75155.2,47.34
75928,68.4
75935.9,74.58
76465,64.23
76543,52.1
76622,62.4
76777,45.47
76784.7,47.94
77433,35.81
77521,54.31
77529.5,92.43
77687,57.7
78437,57.38
78445.5,57.2
78690,50.32
78772,58.74
78854,49.98
78937,46.68
78945.3,58.07
80257,64.24
81453,60.13
82427,49.85
83331,18.58
83470,42.5
84308,47.5
84315,37.45
84905,43.38
84971,34.26
85680,31.86
85746,36.86
86492,90.42
87554,39.08
87624,16.54
89221,27.95
89748,29.08
90286,34.89
91258,55.97
92040,72.26
93468,59.83
93961,46.19
94026,59.97
94585,51.44
95487,110.06
95693,37.7
95761,21.68
96511,37.88
96861,42.46
98157,49.79
98300,49.35
98439,51.73
98783,45.07
99063,48.17
99134,45.43
99622,36
100301,54.07
100307.6,48.59
100498,51.16
101234,49.13
102177,39.89
103553,39.23
103560.2,35.93
104266,37.06
104337,42.65
105342,31.16
105772,34.5
105779,44.5
106114,27.74
107121,44.73
107767,67.88
107852,65.42
108706,66.17
109790,49.75
109872,64.05
109952,66.34
111239,52.51
111247,39.32
111319,28.85
112708,76.98
112790,53.19
113425,51.84
113578,54.88
113656,34.05
113664,78.38
114562,57.83
114639,37.28
114715,70.02
115150,44.54
115157.2,42.59
115683,33.38
116296,50.82
116497,23.29
116503.6,25.46
116827,23.86
117264,56.56
117575,23.17
117635,18.3
117697,24.25
118135,13.19
118314,19.84
118376,14.28
118438,18.19
118444.1,27.03
118499,20.2
118559,27.42
119710,29.7
120199,21.23
120205,25.33
120439,19.93
120498,19.52
120669,15.86
121314,24.96
121373,10.08
121378.9,14.62
121432,10.22
121492,9.37
122006,18.79
122064,9.64
122122,10.13
122290,9.78
122515,17.18
122520.6,13.86
122919,24.59
123154,10.88
123602,7.96
123658,15.62
123715,17.56
123720.5,13.7
123770,9.47
123936,18.25
124765,18.49
124770.6,12.92
124821,10.36
124935,13.58
124993,14.69
125271,11.31
125653,12
125877,71.15
125933,18.02
126103,16.51
126217,13.27
126327,10.03
126598,16.98
126904,10.21
126909.1,12.4
127006,5.3
127057,17.55
127108,7.9
127113.1,11.43
127260,9.4
127360,23.39
127365,12.81
127510,4.93
127610,14.54
127760,38.46
127810,7.88
127860,10.41
128062,18.31
128067,12.51
128112,7.58
128161,43.53
128259,12.29
128284,7.13
128309,16.99
128405,9.06
128501,7.18
128549,7.51
128554,10.48
128599,8.48
128854,13.7
128859.2,7.48
129011,6.56
129016.4,6.48
129274,8.05
129279,8.23
129428,13.2
129545,14.37
129653,9.65
129705,19.33
129863,13.82
129916,46.67
130079,9.65
130185,8.78
130467,24.3
130525,23.66
130759,17.74
131004,22.55
131066,8.79
131374,23.95
131380.5,39.24
131439,27.46
131707,27.22
131773,16.77
132048,19.56
132477,30.96
132484.1,44.13
132619,24.3
132691,44.56
132836,59.62
132987,40
133142,53.42
133374,114.71
133679,35.48
134005,92.94
134013.6,76.93
134628,58.82
135308,73.02
135604,90.31
135903,91
136206,85.39
136216.3,86.67
136819,45.5
136829.4,83.2
137341,73.67
137754,94.57
137858,89.55
137966,72.08
138532,133.02
138543.2,105.98
138644,118.94
139418,128.74
139429.2,89.33
139530,96.64
140093,111.28
140542,120.81
140655,124.93
140986,101.95
141323,95.72
141334.1,115.76
141997,90.62
142108,67.48
142119,114.97
142440,58.58
143562,49.93
143790,91.26
144894,71.85
145905,59.46
146903,71.9
147347,69.29
148025,61.61
148691,53.09
150440,55.93
151502,103.89
152513,69.11
153868,80.61
154664,66.64
154783,37.41
156593,67.74
157202,60.69
158359,71.28
159444,83.36
160076,78.25
160403,77.29
161427,93.62
162117,78.68
162543,104.38
163777,98.77
165021,90.35
165522,98.31
166537,126.27
167664,81.46
168391,53.41
169314,81.57
170340,52.79
171880,65.29
172393,65.69
173642,59.95
174688,59.06
174804,52.24
176117,39.72
177142,58.09
177644,41.86
178554,91.38
179820,52.96
180426,70.21
181011,90.16
182146,70.73
183807,113.05
184367,50.49
185069,95.38
186499,107.09
187067,93.49
187630,89.19
189165,57.84
190705,49.83
190822,54.17
192138,79.28
193421,42.49
194565,28.36
195808,50.52
196846,41.02
197211,18.92
198426,40.27
199220,56.9
200451,35.62
201423,31.96
202496,56.86
202717,41.35
202826,18.98
203046,37.4
203592,20.35
203704,52.28
204394,41.63
204512,26.85
204743,49.52
205092,18.47
205458,51.83
205582,46.53
205708,49.61
205965,75.03
206496,nan
206890,38.87
207019,59.8
207149,71.69
207540,33.81
207803,51.11
208747,69.53
209122,49.73
209487,60.12
209989,65.41
210348,60.67
211176,67.99
211771,26.45
212122,43.49
212470,32.43
212813,56.56
213156,19.34
213500,nan
213845,19.14
214525,25.16
214865,28.8
215207,25.99
216004,32.29
216247,40.27
216608,11.73
216951,28.13
217747,13.13
218110,17.83
218353,21.9
218736,27.88
219261,51.7
219527,51.84
219660,49.4
220082,78.06
220523,59.71
220674,60.54
221120,61.13
221273,58.67
221752,72.5
221918,69.48
222253,84.76
222782,95.22
224055,108.38
224610,96.28
225128,85.88
225629,79.65
225797,68.98
226140,51.41
227016,83.93
227774,97.45
228313,97.61
229052,84
229617,81.33
230336,68.56
230867,84.27
231383,89.03
232364,50.14
232993,51.59
233452,55.91
234327,42.02
234610,38.69
235043,48.32
235469,31.74
236033,33.01
236305,31.69
236707,32.84
237216,22.82
237459,21.55
237801,15.41
238020,17.53
238465,6.05
238813,6.96
239175,8.07
239562,12.78
239992,26.09
240453,33.28
240947,36.3
241484,47.91
242071,78.17
242656,69.91
243220,74.54
243797,85.04
244425,79.57
245070,98.61
245707,92.62
246358,116.58
247224,121.2
247656,104.81
248321,102.13
248998,121.44
249647,90.69
250287,124.37
250901,69.62
251320,90.61
252195,95.03
252858,90.32
253535,106.94
254851,71.49
255490,87.84
256161,74.37
256855,95.55
257580,104.24
258325,94.87
259083,102.24
259856,152.41
260911,120.4
261445,105.18
262241,126.3
263043,129.02
263575,119.87
263844,123.72
264380,122.58
264639,99.62
265164,107.27
265433,120.12
265706,116.87
265971,121.51
266228,98.71
266750,103.33
267012,143.65
267538,101.75
267796,107.78
268048,118.83
268534,71.4
269029,80.69
269281,88.42
269780,90.81
270026,nan
270507,75.76
270744,85.8
271210,69.34
271444,73.1
271917,69.78
272144,88.86
272592,64.61
272815,59.54
273256,65.43
273475,71.84
273918,53.95
274136,62.12
274565,55.54
274781,63.28
275216,49.32
275432,53.09
275859,53.64
276070,38.61
276496,51.02
276707,56.48
277122,28.88
277334,64.71
277771,nan
277996,46.55
278456,61.5
278688,48.24
279153,57.12
279391,64.55
279886,69.77
280147,69.41
280668,90.39
280921,58.66
281443,84.92
281714,79.55
282250,70.82
282510,77.79
283013,69.26
283265,51
283785,74.48
284337,76.29
284629,104.6
285223,92.4
285516,97.76
286083,73.43
286362,84.72
286916,70.9
287191,78.39
287724,84.38
287988,64.82
288533,75.35
288816,65.14
289385,93.47
289661,80.19
290216,69.83
290496,73.23
291037,90.97
291300,65.61
291830,75.93
292091,74.12
292589,64.82
292832,55.87
293343,55.48
293616,68.27
294178,64.23
294466,73.7
295033,68.2
295311,68.31
295860,67.77
296130,58.63
296676,62.09
296953,62.97
297506,62.69
297781,49.44
298326,53.35
298593,38.52
299120,28.21
299381,38.36
299891,40.24
300143,30.97
300650,47.9
300903,40.73
301410,40.04
301664,45.19
302167,36.66
302428,44.06
302934,47.28
303175,30.82
303661,23.9
303916,41.87
304445,38.98
304721,38.69
305291,42.16
305586,47.17
306201,51.02
306514,67.72
307130,73.51
307432,62.96
308030,71.44
308327,44.96
308907,38.55
309195,39.65
309767,37.12
310049,43.61
310605,31.7
310876,32.56
311411,31.85
311676,34.77
312209,29.93
312476,29.19
313006,38.6
313265,30.89
313778,28.01
314033,24.26
314542,22.58
314795,22.1
315296,28.73
315544,24.91
316034,26.09
316279,13.6
316766,26.07
317010,33.98
317503,21.41
317751,16.87
318241,17.47
318485,19.44
318973,18.58
319219,23.1
319708,17.32
319955,18.23
320458,14.45
320709,20.94
321191,15
321423,9.17
321872,12.19
322088,8.11
322513,5.78
322724,3.1
323144,6.48
323356,6.54
323784,7.25
324000,10.96
324441,7.09
324668,7.29
325137,8.01
325380,3.51
325901,8.08
326176,14.17
326767,20.91
326799,23.16
327731,31.46
328061,28.24
328747,36.26
329104,nan
329853,41.72
330243,48.31
331054,62.99
331474,61.53
332353,74.36
333807,113.44
334805,97.23
335794,96.69
336767,83.12
337255,92.62
338233,93.92
338724,84.24
339705,82.6
340197,85.15
341180,86.87
341654,67.34
342597,68.9
343078,72.37
344056,70.02
344549,74.55
345530,109.49
346025,77.95
347031,86.12
347540,76.63
348570,86.57
349093,78.71
350170,90.73
350719,98.93
351823,90.39
352380,106.55
353505,100.68
354068,109.37
355185,110.17
355737,93.71
356840,82.89
357390,101.89
358468,149.64
359008,83.1
360069,70.08
360592,64.83
361659,74.51
362190,78.73
363263,91.53
363799,73.63
364884,70.34
365427,62.14
366479,64.19
366994,48.81
368026,52.89
368534,51.18
369547,46.94
370081,56.68
371200,71.29
371793,76.02
372986,65.6
373568,63.69
374709,56.66
375272,48.85
376374,54.06
376901,43.41
377910,41.26
378429,41.02
379529,57.55
380098,56.98
381224,52.06
381774,51.24
382832,43.43
383342,42.94
384385,45.09
386154,53.8
386790,68.94
388063,58.75
388692,69.96
389966,58.76
390616,65.76
391928,61.27
392586,63.6
393907,64.1
394559,53.91
395782,46.24
396359,42.3
397481,36.28
398035,27.19
399133,28.63
399680,29.19
400776,28.8
401318,26.18
402404,23.05
402953,19.64
404033,19.78
404562,16.92
405615,16.13
406135,14.84
406653,16.83
407677,14.94
408185,11.54
409199,13.78
409701,13.42
410686,10.98
411189,13.75
412224,13.2
412750,12.29
413825,13.9
414370,13.85
415459,14.72
416005,13.41
417096,13.78
417645,13.32
418759,12.02
419336,13.66
