Temperature - (Celsius), Year, Statistics, Longitude, Latitude
26.10000038147, 1901, Jan Average, 106.816666, -6.2
25.60000038147, 1901, Feb Average, 106.816666, -6.2
27.10000038147, 1901, Mar Average, 106.816666, -6.2
26.800001144409, 1901, Apr Average, 106.816666, -6.2
27.5, 1901, May Average, 106.816666, -6.2
25.700000762939, 1901, Jun Average, 106.816666, -6.2
26.60000038147, 1901, Jul Average, 106.816666, -6.2
25.700000762939, 1901, Aug Average, 106.816666, -6.2
26, 1901, Sep Average, 106.816666, -6.2
26.800001144409, 1901, Oct Average, 106.816666, -6.2
27.5, 1901, Nov Average, 106.816666, -6.2
25.89999961853, 1901, Dec Average, 106.816666, -6.2
25.800001144409, 1902, Jan Average, 106.816666, -6.2
25.5, 1902, Feb Average, 106.816666, -6.2
26.10000038147, 1902, Mar Average, 106.816666, -6.2
26.39999961853, 1902, Apr Average, 106.816666, -6.2
27.5, 1902, May Average, 106.816666, -6.2
25.800001144409, 1902, Jun Average, 106.816666, -6.2
25.5, 1902, Jul Average, 106.816666, -6.2
25.89999961853, 1902, Aug Average, 106.816666, -6.2
26.10000038147, 1902, Sep Average, 106.816666, -6.2
27, 1902, Oct Average, 106.816666, -6.2
27.5, 1902, Nov Average, 106.816666, -6.2
26.60000038147, 1902, Dec Average, 106.816666, -6.2
27, 1903, Jan Average, 106.816666, -6.2
26, 1903, Feb Average, 106.816666, -6.2
26.60000038147, 1903, Mar Average, 106.816666, -6.2
26.300001144409, 1903, Apr Average, 106.816666, -6.2
27.5, 1903, May Average, 106.816666, -6.2
25.800001144409, 1903, Jun Average, 106.816666, -6.2
25.60000038147, 1903, Jul Average, 106.816666, -6.2
25.89999961853, 1903, Aug Average, 106.816666, -6.2
26.10000038147, 1903, Sep Average, 106.816666, -6.2
26.10000038147, 1903, Oct Average, 106.816666, -6.2
27.5, 1903, Nov Average, 106.816666, -6.2
25.60000038147, 1903, Dec Average, 106.816666, -6.2
25.60000038147, 1904, Jan Average, 106.816666, -6.2
25.200000762939, 1904, Feb Average, 106.816666, -6.2
27.10000038147, 1904, Mar Average, 106.816666, -6.2
25.89999961853, 1904, Apr Average, 106.816666, -6.2
27.5, 1904, May Average, 106.816666, -6.2
26.89999961853, 1904, Jun Average, 106.816666, -6.2
26.60000038147, 1904, Jul Average, 106.816666, -6.2
25.39999961853, 1904, Aug Average, 106.816666, -6.2
27.10000038147, 1904, Sep Average, 106.816666, -6.2
25.89999961853, 1904, Oct Average, 106.816666, -6.2
27.5, 1904, Nov Average, 106.816666, -6.2
25.89999961853, 1904, Dec Average, 106.816666, -6.2
26.200000762939, 1905, Jan Average, 106.816666, -6.2
25.89999961853, 1905, Feb Average, 106.816666, -6.2
26.60000038147, 1905, Mar Average, 106.816666, -6.2
26.10000038147, 1905, Apr Average, 106.816666, -6.2
27.5, 1905, May Average, 106.816666, -6.2
26.5, 1905, Jun Average, 106.816666, -6.2
25.89999961853, 1905, Jul Average, 106.816666, -6.2
25.800001144409, 1905, Aug Average, 106.816666, -6.2
26.10000038147, 1905, Sep Average, 106.816666, -6.2
27.200000762939, 1905, Oct Average, 106.816666, -6.2
27.5, 1905, Nov Average, 106.816666, -6.2
26.800001144409, 1905, Dec Average, 106.816666, -6.2
26.700000762939, 1906, Jan Average, 106.816666, -6.2
26.89999961853, 1906, Feb Average, 106.816666, -6.2
26.60000038147, 1906, Mar Average, 106.816666, -6.2
26.700000762939, 1906, Apr Average, 106.816666, -6.2
27.5, 1906, May Average, 106.816666, -6.2
26.10000038147, 1906, Jun Average, 106.816666, -6.2
25.800001144409, 1906, Jul Average, 106.816666, -6.2
25.800001144409, 1906, Aug Average, 106.816666, -6.2
26, 1906, Sep Average, 106.816666, -6.2
26.10000038147, 1906, Oct Average, 106.816666, -6.2
27.5, 1906, Nov Average, 106.816666, -6.2
25.800001144409, 1906, Dec Average, 106.816666, -6.2
25.800001144409, 1907, Jan Average, 106.816666, -6.2
25.60000038147, 1907, Feb Average, 106.816666, -6.2
25.89999961853, 1907, Mar Average, 106.816666, -6.2
26.200000762939, 1907, Apr Average, 106.816666, -6.2
27.5, 1907, May Average, 106.816666, -6.2
25.700000762939, 1907, Jun Average, 106.816666, -6.2
25.5, 1907, Jul Average, 106.816666, -6.2
25.5, 1907, Aug Average, 106.816666, -6.2
27.10000038147, 1907, Sep Average, 106.816666, -6.2
26.39999961853, 1907, Oct Average, 106.816666, -6.2
27.5, 1907, Nov Average, 106.816666, -6.2
26, 1907, Dec Average, 106.816666, -6.2
26.300001144409, 1908, Jan Average, 106.816666, -6.2
26, 1908, Feb Average, 106.816666, -6.2
26.5, 1908, Mar Average, 106.816666, -6.2
26.60000038147, 1908, Apr Average, 106.816666, -6.2
27.5, 1908, May Average, 106.816666, -6.2
25.700000762939, 1908, Jun Average, 106.816666, -6.2
26.60000038147, 1908, Jul Average, 106.816666, -6.2
25.800001144409, 1908, Aug Average, 106.816666, -6.2
27.10000038147, 1908, Sep Average, 106.816666, -6.2
26.200000762939, 1908, Oct Average, 106.816666, -6.2
27.5, 1908, Nov Average, 106.816666, -6.2
26.200000762939, 1908, Dec Average, 106.816666, -6.2
26.39999961853, 1909, Jan Average, 106.816666, -6.2
26, 1909, Feb Average, 106.816666, -6.2
26.200000762939, 1909, Mar Average, 106.816666, -6.2
26.5, 1909, Apr Average, 106.816666, -6.2
27.5, 1909, May Average, 106.816666, -6.2
26.89999961853, 1909, Jun Average, 106.816666, -6.2
25.39999961853, 1909, Jul Average, 106.816666, -6.2
26, 1909, Aug Average, 106.816666, -6.2
26, 1909, Sep Average, 106.816666, -6.2
26.200000762939, 1909, Oct Average, 106.816666, -6.2
27.5, 1909, Nov Average, 106.816666, -6.2
26, 1909, Dec Average, 106.816666, -6.2
26.300001144409, 1910, Jan Average, 106.816666, -6.2
26.200000762939, 1910, Feb Average, 106.816666, -6.2
26.10000038147, 1910, Mar Average, 106.816666, -6.2
26.10000038147, 1910, Apr Average, 106.816666, -6.2
27.5, 1910, May Average, 106.816666, -6.2
25.800001144409, 1910, Jun Average, 106.816666, -6.2
25.700000762939, 1910, Jul Average, 106.816666, -6.2
25.700000762939, 1910, Aug Average, 106.816666, -6.2
27.10000038147, 1910, Sep Average, 106.816666, -6.2
25.800001144409, 1910, Oct Average, 106.816666, -6.2
27.5, 1910, Nov Average, 106.816666, -6.2
26, 1910, Dec Average, 106.816666, -6.2
25.89999961853, 1911, Jan Average, 106.816666, -6.2
25.800001144409, 1911, Feb Average, 106.816666, -6.2
26.60000038147, 1911, Mar Average, 106.816666, -6.2
26.60000038147, 1911, Apr Average, 106.816666, -6.2
27.89999961853, 1911, May Average, 106.816666, -6.2
26, 1911, Jun Average, 106.816666, -6.2
25.5, 1911, Jul Average, 106.816666, -6.2
25.700000762939, 1911, Aug Average, 106.816666, -6.2
26.39999961853, 1911, Sep Average, 106.816666, -6.2
26.300001144409, 1911, Oct Average, 106.816666, -6.2
28.800001144409, 1911, Nov Average, 106.816666, -6.2
26.39999961853, 1911, Dec Average, 106.816666, -6.2
26.300001144409, 1912, Jan Average, 106.816666, -6.2
26.39999961853, 1912, Feb Average, 106.816666, -6.2
26.39999961853, 1912, Mar Average, 106.816666, -6.2
27.39999961853, 1912, Apr Average, 106.816666, -6.2
27.89999961853, 1912, May Average, 106.816666, -6.2
26.10000038147, 1912, Jun Average, 106.816666, -6.2
25.700000762939, 1912, Jul Average, 106.816666, -6.2
26.39999961853, 1912, Aug Average, 106.816666, -6.2
26.300001144409, 1912, Sep Average, 106.816666, -6.2
26.5, 1912, Oct Average, 106.816666, -6.2
28.300001144409, 1912, Nov Average, 106.816666, -6.2
26.39999961853, 1912, Dec Average, 106.816666, -6.2
26.300001144409, 1913, Jan Average, 106.816666, -6.2
26.39999961853, 1913, Feb Average, 106.816666, -6.2
26.10000038147, 1913, Mar Average, 106.816666, -6.2
26.39999961853, 1913, Apr Average, 106.816666, -6.2
27.89999961853, 1913, May Average, 106.816666, -6.2
25.89999961853, 1913, Jun Average, 106.816666, -6.2
26, 1913, Jul Average, 106.816666, -6.2
26.10000038147, 1913, Aug Average, 106.816666, -6.2
26.5, 1913, Sep Average, 106.816666, -6.2
27, 1913, Oct Average, 106.816666, -6.2
28.5, 1913, Nov Average, 106.816666, -6.2
26.5, 1913, Dec Average, 106.816666, -6.2
26.5, 1914, Jan Average, 106.816666, -6.2
26.39999961853, 1914, Feb Average, 106.816666, -6.2
26.700000762939, 1914, Mar Average, 106.816666, -6.2
26.60000038147, 1914, Apr Average, 106.816666, -6.2
28.89999961853, 1914, May Average, 106.816666, -6.2
26.200000762939, 1914, Jun Average, 106.816666, -6.2
25.89999961853, 1914, Jul Average, 106.816666, -6.2
26.10000038147, 1914, Aug Average, 106.816666, -6.2
26.300001144409, 1914, Sep Average, 106.816666, -6.2
27.5, 1914, Oct Average, 106.816666, -6.2
29, 1914, Nov Average, 106.816666, -6.2
26.89999961853, 1914, Dec Average, 106.816666, -6.2
26.39999961853, 1915, Jan Average, 106.816666, -6.2
26.39999961853, 1915, Feb Average, 106.816666, -6.2
27.200000762939, 1915, Mar Average, 106.816666, -6.2
27, 1915, Apr Average, 106.816666, -6.2
27.39999961853, 1915, May Average, 106.816666, -6.2
26.5, 1915, Jun Average, 106.816666, -6.2
26.39999961853, 1915, Jul Average, 106.816666, -6.2
26.39999961853, 1915, Aug Average, 106.816666, -6.2
26.39999961853, 1915, Sep Average, 106.816666, -6.2
26.89999961853, 1915, Oct Average, 106.816666, -6.2
28.800001144409, 1915, Nov Average, 106.816666, -6.2
26.300001144409, 1915, Dec Average, 106.816666, -6.2
25.5, 1916, Jan Average, 106.816666, -6.2
26, 1916, Feb Average, 106.816666, -6.2
26.200000762939, 1916, Mar Average, 106.816666, -6.2
26.700000762939, 1916, Apr Average, 106.816666, -6.2
26.89999961853, 1916, May Average, 106.816666, -6.2
25.89999961853, 1916, Jun Average, 106.816666, -6.2
25.89999961853, 1916, Jul Average, 106.816666, -6.2
25.89999961853, 1916, Aug Average, 106.816666, -6.2
26.200000762939, 1916, Sep Average, 106.816666, -6.2
26.700000762939, 1916, Oct Average, 106.816666, -6.2
28.60000038147, 1916, Nov Average, 106.816666, -6.2
25.800001144409, 1916, Dec Average, 106.816666, -6.2
25.5, 1917, Jan Average, 106.816666, -6.2
25.60000038147, 1917, Feb Average, 106.816666, -6.2
26.10000038147, 1917, Mar Average, 106.816666, -6.2
26.200000762939, 1917, Apr Average, 106.816666, -6.2
26.700000762939, 1917, May Average, 106.816666, -6.2
26.10000038147, 1917, Jun Average, 106.816666, -6.2
26.200000762939, 1917, Jul Average, 106.816666, -6.2
26.10000038147, 1917, Aug Average, 106.816666, -6.2
27.39999961853, 1917, Sep Average, 106.816666, -6.2
28.10000038147, 1917, Oct Average, 106.816666, -6.2
28.60000038147, 1917, Nov Average, 106.816666, -6.2
27.60000038147, 1917, Dec Average, 106.816666, -6.2
25, 1918, Jan Average, 106.816666, -6.2
25.10000038147, 1918, Feb Average, 106.816666, -6.2
25.89999961853, 1918, Mar Average, 106.816666, -6.2
26.89999961853, 1918, Apr Average, 106.816666, -6.2
27.300001144409, 1918, May Average, 106.816666, -6.2
26.200000762939, 1918, Jun Average, 106.816666, -6.2
26, 1918, Jul Average, 106.816666, -6.2
26, 1918, Aug Average, 106.816666, -6.2
26.5, 1918, Sep Average, 106.816666, -6.2
27.200000762939, 1918, Oct Average, 106.816666, -6.2
28.60000038147, 1918, Nov Average, 106.816666, -6.2
26.5, 1918, Dec Average, 106.816666, -6.2
26.5, 1919, Jan Average, 106.816666, -6.2
