Temperature - (Celsius), Year, Statistics, Longitude, Latitude
5.7000002861023, 1901, Jan Average, 121, 31
1.8999999761581, 1901, Feb Average, 121, 31
8.1000003814697, 1901, Mar Average, 121, 31
14.60000038147, 1901, Apr Average, 121, 31
18.5, 1901, May Average, 121, 31
22.700000762939, 1901, Jun Average, 121, 31
26.300001144409, 1901, Jul Average, 121, 31
27.10000038147, 1901, Aug Average, 121, 31
22.39999961853, 1901, Sep Average, 121, 31
18.200000762939, 1901, Oct Average, 121, 31
11.5, 1901, Nov Average, 121, 31
5.9000000953674, 1901, Dec Average, 121, 31
6.2000002861023, 1902, Jan Average, 121, 31
5, 1902, Feb Average, 121, 31
10.60000038147, 1902, Mar Average, 121, 31
14.300000190735, 1902, Apr Average, 121, 31
19.700000762939, 1902, May Average, 121, 31
23.10000038147, 1902, Jun Average, 121, 31
27.200000762939, 1902, Jul Average, 121, 31
26.60000038147, 1902, Aug Average, 121, 31
22.200000762939, 1902, Sep Average, 121, 31
18, 1902, Oct Average, 121, 31
14.10000038147, 1902, Nov Average, 121, 31
7.5, 1902, Dec Average, 121, 31
3.6000001430511, 1903, Jan Average, 121, 31
4.3000001907349, 1903, Feb Average, 121, 31
9.3000001907349, 1903, Mar Average, 121, 31
14.199999809265, 1903, Apr Average, 121, 31
18.89999961853, 1903, May Average, 121, 31
22.60000038147, 1903, Jun Average, 121, 31
26.200000762939, 1903, Jul Average, 121, 31
27.700000762939, 1903, Aug Average, 121, 31
23.700000762939, 1903, Sep Average, 121, 31
18.10000038147, 1903, Oct Average, 121, 31
11.199999809265, 1903, Nov Average, 121, 31
5.5999999046326, 1903, Dec Average, 121, 31
4.2000002861023, 1904, Jan Average, 121, 31
6.9000000953674, 1904, Feb Average, 121, 31
8.1000003814697, 1904, Mar Average, 121, 31
14.300000190735, 1904, Apr Average, 121, 31
18.800001144409, 1904, May Average, 121, 31
23.5, 1904, Jun Average, 121, 31
27, 1904, Jul Average, 121, 31
26.5, 1904, Aug Average, 121, 31
23, 1904, Sep Average, 121, 31
17.700000762939, 1904, Oct Average, 121, 31
11.10000038147, 1904, Nov Average, 121, 31
5.4000000953674, 1904, Dec Average, 121, 31
6.9000000953674, 1905, Jan Average, 121, 31
2.6000001430511, 1905, Feb Average, 121, 31
7.3000001907349, 1905, Mar Average, 121, 31
12.5, 1905, Apr Average, 121, 31
19.300001144409, 1905, May Average, 121, 31
24.10000038147, 1905, Jun Average, 121, 31
28.10000038147, 1905, Jul Average, 121, 31
27, 1905, Aug Average, 121, 31
24, 1905, Sep Average, 121, 31
17.800001144409, 1905, Oct Average, 121, 31
11.800000190735, 1905, Nov Average, 121, 31
8.4000005722046, 1905, Dec Average, 121, 31
4.3000001907349, 1906, Jan Average, 121, 31
4.2000002861023, 1906, Feb Average, 121, 31
8.3000001907349, 1906, Mar Average, 121, 31
14.60000038147, 1906, Apr Average, 121, 31
19.300001144409, 1906, May Average, 121, 31
24.10000038147, 1906, Jun Average, 121, 31
27.39999961853, 1906, Jul Average, 121, 31
27.700000762939, 1906, Aug Average, 121, 31
23.89999961853, 1906, Sep Average, 121, 31
17.800001144409, 1906, Oct Average, 121, 31
11.10000038147, 1906, Nov Average, 121, 31
6.9000000953674, 1906, Dec Average, 121, 31
5.7000002861023, 1907, Jan Average, 121, 31
3.5, 1907, Feb Average, 121, 31
7.7000002861023, 1907, Mar Average, 121, 31
13.699999809265, 1907, Apr Average, 121, 31
19.89999961853, 1907, May Average, 121, 31
22.89999961853, 1907, Jun Average, 121, 31
25.39999961853, 1907, Jul Average, 121, 31
27.700000762939, 1907, Aug Average, 121, 31
23, 1907, Sep Average, 121, 31
19.200000762939, 1907, Oct Average, 121, 31
12.5, 1907, Nov Average, 121, 31
6.8000001907349, 1907, Dec Average, 121, 31
5.3000001907349, 1908, Jan Average, 121, 31
4.3000001907349, 1908, Feb Average, 121, 31
7.9000000953674, 1908, Mar Average, 121, 31
12.60000038147, 1908, Apr Average, 121, 31
19.300001144409, 1908, May Average, 121, 31
23.60000038147, 1908, Jun Average, 121, 31
27.39999961853, 1908, Jul Average, 121, 31
27.200000762939, 1908, Aug Average, 121, 31
23.5, 1908, Sep Average, 121, 31
18.5, 1908, Oct Average, 121, 31
11.699999809265, 1908, Nov Average, 121, 31
8.1000003814697, 1908, Dec Average, 121, 31
4.4000000953674, 1909, Jan Average, 121, 31
5.2000002861023, 1909, Feb Average, 121, 31
7.4000000953674, 1909, Mar Average, 121, 31
14.699999809265, 1909, Apr Average, 121, 31
19.300001144409, 1909, May Average, 121, 31
22.700000762939, 1909, Jun Average, 121, 31
28, 1909, Jul Average, 121, 31
27.89999961853, 1909, Aug Average, 121, 31
25, 1909, Sep Average, 121, 31
18.700000762939, 1909, Oct Average, 121, 31
12.400000572205, 1909, Nov Average, 121, 31
6.0999999046326, 1909, Dec Average, 121, 31
4.0999999046326, 1910, Jan Average, 121, 31
3.7999999523163, 1910, Feb Average, 121, 31
8.3000001907349, 1910, Mar Average, 121, 31
12.699999809265, 1910, Apr Average, 121, 31
18.200000762939, 1910, May Average, 121, 31
24.10000038147, 1910, Jun Average, 121, 31
28.10000038147, 1910, Jul Average, 121, 31
27.5, 1910, Aug Average, 121, 31
23.300001144409, 1910, Sep Average, 121, 31
17.700000762939, 1910, Oct Average, 121, 31
12.5, 1910, Nov Average, 121, 31
4.8000001907349, 1910, Dec Average, 121, 31
4.2000002861023, 1911, Jan Average, 121, 31
5.3000001907349, 1911, Feb Average, 121, 31
8.6999998092651, 1911, Mar Average, 121, 31
14.300000190735, 1911, Apr Average, 121, 31
18.200000762939, 1911, May Average, 121, 31
22.89999961853, 1911, Jun Average, 121, 31
26.89999961853, 1911, Jul Average, 121, 31
27.10000038147, 1911, Aug Average, 121, 31
24.60000038147, 1911, Sep Average, 121, 31
17, 1911, Oct Average, 121, 31
11.800000190735, 1911, Nov Average, 121, 31
6.4000000953674, 1911, Dec Average, 121, 31
3.6000001430511, 1912, Jan Average, 121, 31
7, 1912, Feb Average, 121, 31
8.3000001907349, 1912, Mar Average, 121, 31
